Sample_ref,Fec_s_weight,Fecundity_by,FishLength,FishWeight,FultonK,GSI,Ooc_no,OocyteDensity,OvaryWeight,PotentialFecundity,RelativeFecundity,max_dia,mean_dia,min_dia,n_dia,p5_dia,p50_dia,p95_dia,sd_dia,Age,CalendarDay,Campaign,Country,HaulID,Maturity Walsh,Maturity WKMATCH 2012 revised,Notes,SamplingApproach,Ship,StartLatitude,StartLongitude,SurveyPeriod,Fecundity_H,Oocyte_stage_H,Fecundity_W,Sample_letter,Latitude_rounded
X239,26,IEO,38.8,447,0.765265873,6.263982103,543,20884.61538,28,584769.2308,1308.20857,769,480.2343,258,303,310,472,700,125.2373,7,70,PFA sampling,NL,2022033_21,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-11.05,3,yes,3,yes,X,54
X251,26,IEO,38.6,398,0.692024003,7.286432161,511,19653.84615,29,569961.5385,1432.064167,793,471.527,253,315,290,447,737,134.2914,9,71,PFA sampling,NL,2022033_22,3,Bb,Ovary weigth taken on board,R,74YB,53.88333333,-10.86666667,3,yes,4,yes,X,54
X263,26,IEO,39.4,429,0.701404627,10.02331002,435,16730.76923,43,719423.0769,1676.976869,802,496.5033,251,304,307,468.5,776,149.3074,9,71,PFA sampling,NL,2022033_24,3,Bb,Ovary weigth taken on board,R,74YB,53.7,-11.2,3,yes,4,yes,X,54
X287,26,IEO,37.7,401,0.748376811,7.481296758,522,20076.92308,30,602307.6923,1502.014195,754,491.3247,267,271,308,485,679,115.1458,7,72,PFA sampling,NL,2022033_26,3,Bb,Ovary weigth taken on board,R,74YB,53.91666667,-10.9,3,yes,4,yes,X,54
X311,26,IEO,38.3,413,0.735112368,7.748184019,634,24384.61538,32,780307.6923,1889.364872,687,469.9184,251,343,292,453,654,117.6908,8,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,4,yes,X,54
X323,26,IEO,37.9,422,0.775166188,9.952606635,382,14692.30769,42,617076.9231,1462.26759,812,528.5612,250,237,298,524,778,157.7293,9,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,3,yes,X,54
X347,26,IEO,40,460,0.71875,7.608695652,720,27692.30769,35,969230.7692,2107.023411,754,468.5943,254,281,305,450,708,116.446,10,74,PFA sampling,NL,2022033_32,3,Bb,Ovary weigth taken on board,R,74YB,53.65,-11.06666667,3,yes,3,yes,X,54
X509,26,IEO,38.4,427,0.754109135,6.791569087,619,23807.69231,29,690423.0769,1616.915871,805,458.2169,252,355,283,429,724,131.7358,8,75,PFA sampling,NL,2022033_35,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-10.93333333,3,yes,3,yes,X,54
X521,26,IEO,38.4,421,0.743512754,8.313539192,501,19269.23077,35,674423.0769,1601.955052,773,498.5226,250,266,314,478,741,135.4767,12,75,PFA sampling,NL,2022033_36,3,Bb,Ovary weigth taken on board,R,74YB,53.68333333,-11.08333333,3,yes,4,yes,X,54
A003,26,IMR,38,427,0.778174661,4.004683841,985,37884.61538,17.1,647826.9231,1517.15907,545,391.9626,190,454,224,407,526,88.89916,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A009,26,IMR,37,373,0.73638284,5.924932976,474,18230.76923,22.1,402900,1080.160858,737,466.9481,189,289,273,455,683,128.3573,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A015,26,IMR,38,408,0.743548622,9.215686275,445,17115.38462,37.6,643538.4615,1577.300151,814,468.2791,189,258,189,417,746,158.7866,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A021,26,IMR,31,227,0.761975093,2.863436123,803,30884.61538,6.5,200750,884.3612335,557,396.4835,189,424,251,406.5,519,90.74631,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,no,3,yes,A,51
A027,26,IMR,38,398,0.725324391,4.874371859,943,36269.23077,19.4,703623.0769,1767.897178,566,435.4975,209,394,300,447,532,73.98663,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A033,26,IMR,34,282,0.717484226,3.65248227,888,34153.84615,10.3,351784.6154,1247.463175,12419,433.3517,167,509,266,412,525,538.6059,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,no,A,51
A039,26,IMR,37,405,0.799557775,4.691358025,814,31307.69231,19,594846.1538,1468.755935,687,396.6576,189,441,189,408,573,113.9735,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A051,26,IMR,33,268,0.745749506,6.492537313,518,19923.07692,17.4,346661.5385,1293.513203,718,451.4897,189,388,270,431.5,679,123.2369,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
C021,26,IMR,37.7,417.8,0.779730253,6.582096697,523,20115.38462,27.5,553173.0769,1324.014066,765,444.0455,189,352,286,430.5,714,127.3765,13,104,0222H,GB-SCT,AE22001,3,,,,746A,59.0846,-7.0711,4,yes,4,yes,C,59
C171,26,IMR,37.4,366.4,0.700391164,5.212882096,425,16346.15385,19.1,312211.5385,852.1057272,753,402.9741,189,232,267,370,678,126.1598,10,112,0222H,GB-SCT,AE22007,4,,G9,,746A,60.1299,-4.1096,4,yes,4,no,C,60
C177,26,IMR,37.4,324,0.619341531,3.024691358,799,30730.76923,9.8,301161.5385,929.5109212,818,316.5433,189,254,189,288,758,142.9238,11,112,0222H,GB-SCT,AE22007,5,,,,746A,60.1299,-4.1096,4,yes,4,no,C,60
C201,26,IMR,31,198.8,0.667315632,2.213279678,1248,48000,4.4,211200,1062.374245,620,309.8969,189,456,189,314,390,55.80496,3,114,0222H,GB-SCT,AE22008,2,,ONLY 50ul IN D,,746A,60.449,-2.4386,4,no,2,yes,C,60
C207,26,IMR,38.3,378.5,0.673704676,3.302509908,480,18461.53846,12.5,230769.2308,609.6941368,804,352.8421,251,152,255,324,730,115.9125,,114,0222H,GB-SCT,AE22008,3,,,,746A,60.449,-2.4386,4,yes,4,no,C,60
C237,26,IMR,34.8,383.2,0.909259335,3.340292276,793,30500,12.8,390400,1018.789144,518,399.8329,189,377,275,413,499,74.97947,6,114,0222H,GB-SCT,AE22009,4,,No D sample,,746A,61.0227,-1.5015,4,yes,3,yes,C,61
G069,26,IMR,37.2,390,0.757592711,3.692307692,790,30384.61538,14.4,437538.4615,1121.893491,497,429.3843,245,255,366,434,485,41.28775,11,104,WH455,DE,196,4,3a,,R,Walther Herwig III,51.12,-10.2,4,yes,3,yes,G,51
G123,26,IMR,35.2,332,0.76121983,8.734939759,376,14461.53846,29,419384.6154,1263.206673,831,496.0975,189,277,292,456,752,164.7256,7,105,WH455,DE,206,4,3a,,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
K003,52,IMR,37.4,367.6,0.702685021,9.793253536,796,15307.69231,36,551076.9231,1499.121118,822,497.6038,211,477,287,451,753,162.5884,7,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,no,K,47
K009,52,IMR,39.1,455.4,0.761838216,7.422046552,845,16250,33.8,549250,1206.082565,710,461.9851,206,603,286,461,642,109.8276,8,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,no,K,47
K033,52,IMR,40,453,0.7078125,10.52980132,974,18730.76923,47.7,893457.6923,1972.312787,743,459.4801,194,677,269,443,674,131.1316,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,no,K,47
K039,52,IMR,39.2,470,0.780260563,9.446808511,632,12153.84615,44.4,539630.7692,1148.150573,773,504.9777,189,493,272,485,724,158.4003,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,yes,K,47
K051,52,IMR,39.6,478.4,0.770381089,8.005852843,1155,22211.53846,38.3,850701.9231,1778.223083,760,466.2264,210,636,286,460.5,661,122.6816,8,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K069,52,IMR,36.7,341.2,0.690257016,8.997655334,638,12269.23077,30.7,376665.3846,1103.943097,836,498.3976,189,498,271,472.5,755,166.2922,6,77,MEGS_1,ES,2,3,,,R,29RM,47.3435,-6.122,3,yes,4,yes,K,47
K081,52,IMR,31.9,182.2,0.561275808,4.720087816,981,18865.38462,8.6,162242.3077,890.4627206,753,460.1912,189,659,268,446,651,130.0035,2,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,no,4,yes,K,47
K087,52,IMR,34.7,287.5,0.68809662,7.47826087,1061,20403.84615,21.5,438682.6923,1525.852843,689,464.6069,200,636,281,448.5,650,121.9241,4,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,3,yes,K,47
K105,52,IMR,35.8,340,0.741019842,6.088235294,1172,22538.46154,20.7,466546.1538,1372.19457,645,429.9318,251,777,287,425,589,87.88017,5,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,3,yes,K,47
K231,26,IMR,37.5,368.6,0.698974815,10.74335323,278,10692.30769,39.6,423415.3846,1148.712384,775,509.4886,250,219,262,479,757,178.1505,6,89,MEGS_1,ES,7,3,,,R,29RM,45.3505,-3.0095,3,no,4,no,K,45
M141,26,IMR,36.5,318,0.653955997,4.402515723,597,22961.53846,14,321461.5385,1010.885341,675,402.0254,189,354,257,396,610,104.231,6,100,Pelacus0322,ES,Pelacus0322-0010,5,Cb,,R,29MO,43.35,-8.74,4,yes,4,yes,M,43
M321,26,IMR,37.4,373,0.71300738,9.571045576,327,12576.92308,35.7,448996.1538,1203.74304,711,495.6432,189,213,281,479,689,134.9103,7,119,Pelacus0322,ES,Pelacus0322-0024,5,Cb,,R,29MO,43.45,-3.35,4,no,4,yes,M,43
O027,52,IMR,27.3,130,0.638933135,2.976923077,1446,27807.69231,3.87,107615.7692,827.8136095,471,351.9918,189,613,255,356,453,63.74821,,43,29VE_2022,PT,21,,,,R,29VE,41.63166667,-8.975,2,yes,3,yes,O,42
O039,52,IMR,27.6,181,0.860897266,9.198895028,435,8365.384615,16.65,139283.6538,769.5229494,749,519.1137,255,255,292,541,703,140.4901,,47,29VE_2022,PT,23,,,,R,29VE,42.695,-9.376666667,2,yes,4,no,O,43
X003,26,IMR,39,480,0.809184241,4.291666667,662,25461.53846,20.6,524507.6923,1092.724359,643,404.1148,189,488,189,407.5,569,109.4512,9,31,PFA sampling,NL,2022032_2,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.6,-5.25,2,yes,3,yes,X,60
X009,26,IMR,38.2,420,0.753458266,2.642857143,1206,46384.61538,11.1,514869.2308,1225.879121,477,348.1117,189,618,260,350.5,444,57.39086,8,33,PFA sampling,NL,2022032_5,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.33333333,-6.2,2,yes,4,yes,X,59
X021,26,IMR,35.9,320,0.691618549,3.46875,898,34538.46154,11.1,383376.9231,1198.052885,523,400.6984,6,441,263,409,504,79.10986,10,41,PFA sampling,NL,2022032_13,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.38333333,-8.216666667,2,yes,4,yes,X,58
X027,26,IMR,35.8,450,0.980761556,3.577777778,887,34115.38462,16.1,549257.6923,1220.57265,559,378.2258,189,651,259,383,501,77.18074,9,42,PFA sampling,NL,2022032_14,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.18333333,-8.85,2,yes,3,yes,X,58
X033,26,IMR,37.1,410,0.802901239,3.634146341,689,26500,14.9,394850,963.0487805,543,381.1372,189,554,189,386,506,85.90972,4,44,PFA sampling,NL,2022032_17,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.01666667,-9,2,yes,3,yes,X,58
X039,26,IMR,40.1,460,0.713386216,4.717391304,801,30807.69231,21.7,668526.9231,1453.319398,531,383.593,189,516,189,401,506,93.58104,10,45,PFA sampling,NL,2022032_19,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.76666667,-9.366666667,2,yes,4,yes,X,58
X051,26,IMR,41,560,0.812524485,4.375,905,34807.69231,24.5,852788.4615,1522.836538,562,404.0388,6,490,265,406.5,540,93.56159,9,45,PFA sampling,NL,2022032_21,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.03333333,-9.166666667,2,yes,4,yes,X,57
X057,26,IMR,36.9,367,0.730444067,5.722070845,621,23884.61538,21,501576.9231,1366.694613,659,412.8159,189,440,189,416,622,125.1474,11,62,PFA sampling,NL,2022033_03,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.41666667,2,yes,3,yes,X,55
X063,26,IMR,39.5,460,0.746391259,5.217391304,934,35923.07692,24,862153.8462,1874.247492,587,366.2523,189,555,189,374,561,124.7073,6,63,PFA sampling,NL,2022033_04,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.36666667,2,yes,3,yes,X,55
X081,26,IMR,35.4,299,0.674002337,6.35451505,469,18038.46154,19,342730.7692,1146.256753,716,398.2108,189,427,189,388,662,161.4572,7,63,PFA sampling,NL,2022033_05,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.4,2,yes,4,yes,X,55
X087,26,IMR,37.2,388,0.75370762,7.731958763,609,23423.07692,30,702692.3077,1811.062649,703,363.6522,189,506,189,375.5,614,143.9407,6,63,PFA sampling,NL,2022033_05,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.4,2,yes,3,yes,X,55
X093,26,IMR,37,398,0.785738258,6.030150754,437,16807.69231,24,403384.6154,1013.529184,666,424.8708,189,356,189,428,603,117.8039,4,64,PFA sampling,NL,2022033_06,3,Bb,Ovary weigth taken on board,R,74YB,54.66666667,-10.4,2,yes,3,yes,X,55
X099,26,IMR,38.8,433,0.741297814,4.618937644,600,23076.92308,20,461538.4615,1065.908687,691,440.9696,189,362,266,431.5,653,125.6176,7,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,3,yes,X,55
X111,26,IMR,40.5,497,0.748154546,6.841046278,605,23269.23077,34,791153.8462,1591.858845,693,420.0765,189,405,261,413,642,115.6336,8,65,PFA sampling,NL,2022033_08,3,Bb,Ovary weigth taken on board,R,74YB,54.66666667,-10.36666667,3,yes,4,yes,X,55
X123,26,IMR,34.1,298,0.751541777,6.040268456,692,26615.38462,18,479076.9231,1607.640681,682,427.1788,189,425,259,430,639,121.6545,5,65,PFA sampling,NL,2022033_10,3,Bb,Ovary weigth taken on board,R,74YB,54.36666667,-10.58333333,3,yes,3,yes,X,54
X141,26,IMR,38,362,0.65971716,6.629834254,864,33230.76923,24,797538.4615,2203.144921,573,404.1683,189,404,265,410.5,540,89.846,8,67,PFA sampling,NL,2022033_13,3,Bb,Ovary weigth taken on board,R,74YB,54.31666667,-10.65,3,yes,4,yes,X,54
X147,26,IMR,36.7,406,0.821349204,5.911330049,648,24923.07692,24,598153.8462,1473.285335,671,432.1299,189,385,277,430,591,97.98782,5,68,PFA sampling,NL,2022033_14,3,Bb,Ovary weigth taken on board,R,74YB,54.35,-10.66666667,3,yes,4,yes,X,54
X153,26,IMR,39.8,469,0.743915532,6.396588486,636,24461.53846,30,733846.1538,1564.703953,721,415.1835,189,376,252,385,655,139.1899,9,68,PFA sampling,NL,2022033_14,3,Bb,Ovary weigth taken on board,R,74YB,54.35,-10.66666667,3,yes,4,yes,X,54
X159,26,IMR,39.3,440,0.724894868,7.272727273,600,23076.92308,32,738461.5385,1678.321678,737,449.7322,189,351,272,451,648,111.7325,10,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,4,yes,X,54
X171,26,IMR,37.2,410,0.796443619,10.48780488,438,16846.15385,43,724384.6154,1766.791745,784,507.581,189,253,268,513,706,146.0508,7,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,4,yes,X,54
X183,26,IMR,38.9,438,0.744089723,7.077625571,527,20269.23077,31,628346.1538,1434.58026,783,459.6176,252,340,279,437,709.5,134.1897,10,68,PFA sampling,NL,2022033_16,3,Bb,Ovary weigth taken on board,R,74YB,54.15,-10.75,3,yes,3,yes,X,54
X189,26,IMR,37.9,380,0.698016947,6.052631579,451,17346.15385,23,398961.5385,1049.898785,655,422.4481,189,337,258,425,588,112.7385,7,68,PFA sampling,NL,2022033_16,3,Bb,Ovary weigth taken on board,R,74YB,54.15,-10.75,3,yes,4,yes,X,54
X207,26,IMR,35.8,282,0.614610575,10.28368794,370,14230.76923,29,412692.3077,1463.4479,749,511.3808,189,260,278.5,519,717.5,140.8897,5,70,PFA sampling,NL,2022033_19,3,Bb,Ovary weigth taken on board,R,74YB,54.01666667,-11,3,yes,3,yes,X,54
X213,26,IMR,34.9,325,0.76455209,6.769230769,547,21038.46154,22,462846.1538,1424.142012,706,438.2228,189,377,267,426,644,116.4649,5,70,PFA sampling,NL,2022033_19,3,Bb,Ovary weigth taken on board,R,74YB,54.01666667,-11,3,yes,3,yes,X,54
X231,26,IMR,33.8,270,0.699219712,6.666666667,379,14576.92308,18,262384.6154,971.7948718,730,461.77,253,313,272,430,691,135.5218,3,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,4,yes,X,54
X243,26,IMR,37.2,356,0.691546167,8.988764045,371,14269.23077,32,456615.3846,1282.627485,782,485.9663,274,297,301,479,698,130.1679,7,70,PFA sampling,NL,2022033_21,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-11.05,3,yes,4,yes,X,54
X261,26,IMR,38.8,439,0.751569839,7.744874715,569,21884.61538,34,744076.9231,1694.936043,756,429.0435,189,391,268,404,690,129.4918,8,71,PFA sampling,NL,2022033_24,3,Bb,Ovary weigth taken on board,R,74YB,53.7,-11.2,3,yes,4,yes,X,54
X267,26,IMR,35.9,325,0.702425089,7.076923077,603,23192.30769,23,533423.0769,1641.301775,657,443.4536,189,399,272,448,615,111.3608,6,71,PFA sampling,NL,2022033_24,3,Bb,Ovary weigth taken on board,R,74YB,53.7,-11.2,3,yes,3,yes,X,54
X273,26,IMR,37.8,395,0.731343989,7.594936709,642,24692.30769,30,740769.2308,1875.365141,781,412.8993,250,447,269,389,698,125.5244,7,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,4,yes,X,54
X279,26,IMR,38.8,407,0.696785705,6.142506143,582,22384.61538,25,559615.3846,1374.976375,708,445.2781,189,356,273,442.5,656,114.737,10,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,4,yes,X,54
X291,26,IMR,37.6,409,0.769413449,8.557457213,413,15884.61538,35,555961.5385,1359.319165,873,472.3836,189,292,276,444.5,744,153.4127,7,72,PFA sampling,NL,2022033_26,3,Bb,Ovary weigth taken on board,R,74YB,53.91666667,-10.9,3,yes,4,no,X,54
X297,26,IMR,37.1,366,0.716736228,6.557377049,504,19384.61538,24,465230.7692,1271.12232,689,452.6458,189,367,279,452,640,103.0705,9,72,PFA sampling,NL,2022033_27,3,Bb,Ovary weigth taken on board,R,74YB,53.76666667,-10.95,3,yes,4,yes,X,54
X303,26,IMR,38.4,385,0.679934466,7.532467532,350,13461.53846,29,390384.6154,1013.986014,795,474.5445,255,281,277,442,751,155.0696,7,72,PFA sampling,NL,2022033_27,3,Bb,Ovary weigth taken on board,R,74YB,53.76666667,-10.95,3,yes,3,yes,X,54
X309,26,IMR,36.8,357,0.716349167,6.442577031,632,24307.69231,23,559076.9231,1566.041801,631,444.3107,6,383,274,461,598,101.7602,5,72,PFA sampling,NL,2022033_28,3,Bb,Ovary weigth taken on board,R,74YB,53.73333333,-10.98333333,3,yes,3,yes,X,54
X321,26,IMR,38.7,384,0.662518987,8.59375,479,18423.07692,33,607961.5385,1583.233173,798,452.4088,189,340,264.5,440.5,711.5,137.1515,9,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,4,yes,X,54
X327,26,IMR,35,292,0.681049563,7.534246575,464,17846.15385,22,392615.3846,1344.573235,710,480.4385,254,301,307,457,683,119.5629,4,73,PFA sampling,NL,2022033_30,3,Bb,Ovary weigth taken on board,R,74YB,53.68333333,-11.03333333,3,yes,3,yes,X,54
X333,26,IMR,38,391,0.71256743,9.462915601,348,13384.61538,37,495230.7692,1266.574857,778,497.7745,189,275,287,483,736,145.5267,8,74,PFA sampling,NL,2022033_31,3,Bb,Ovary weigth taken on board,R,74YB,53.6,-11.03333333,3,yes,3,yes,X,54
X339,26,IMR,38,398,0.725324391,5.778894472,498,19153.84615,23,440538.4615,1106.880557,728,442.2751,189,309,189,435,671,139.395,8,74,PFA sampling,NL,2022033_31,3,Bb,Ovary weigth taken on board,R,74YB,53.6,-11.03333333,3,yes,4,yes,X,54
X345,26,IMR,35.6,348,0.771310512,6.609195402,492,18923.07692,23,435230.7692,1250.66313,692,456.9819,189,386,289,455.5,633,108.3579,6,74,PFA sampling,NL,2022033_32,3,Bb,Ovary weigth taken on board,R,74YB,53.65,-11.06666667,3,yes,4,yes,X,54
X501,26,IMR,40.7,507,0.752011932,5.522682446,889,34192.30769,28,957384.6154,1888.332575,631,402.5777,6,528,264,400,558,97.27399,14,75,PFA sampling,NL,2022033_34,3,Bb,Ovary weigth taken on board,R,74YB,53.66666667,-11.06666667,3,yes,4,yes,X,54
X507,26,IMR,40.4,513,0.777988665,8.382066277,357,13730.76923,43,590423.0769,1150.922177,729,497.1507,263,272,297,481,698,133.2474,9,75,PFA sampling,NL,2022033_34,3,Bb,Ovary weigth taken on board,R,74YB,53.66666667,-11.06666667,3,yes,3,yes,X,54
X513,26,IMR,34.1,295,0.74397592,7.118644068,578,22230.76923,21,466846.1538,1582.529335,702,439.7236,189,351,269,431,662,123.0352,6,75,PFA sampling,NL,2022033_35,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-10.93333333,3,yes,3,yes,X,54
A001,26,MI,39,421,0.709722011,3.135391924,638,24538.46154,13.2,323907.6923,769.3769413,479,418.2945,310,343,363,423,462,31.12206,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A007,26,MI,34,287,0.730205577,7.142857143,402,15461.53846,20.5,316961.5385,1104.395604,610,424.0769,250,299,296,420,572,83.70773,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A013,26,MI,30,200,0.740740741,2.75,643,24730.76923,5.5,136019.2308,680.0961538,499,394.2925,246,506,286,404,479,65.00265,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A025,26,MI,38,408,0.743548622,7.058823529,359,13807.69231,28.8,397661.5385,974.6606335,597,410.939,265,295,304,401,578,86.10958,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A031,26,MI,32,252,0.769042969,6.19047619,424,16307.69231,15.6,254400,1009.52381,617,421.1055,254,256,301,411.5,572,84.23739,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A037,26,MI,35,330,0.7696793,8.96969697,312,12000,29.6,355200,1076.363636,593,412.2843,187,197,296,408,553,78.66294,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A043,26,MI,35,335,0.781341108,5.701492537,448,17230.76923,19.1,329107.6923,982.4110218,621,416.4868,254,380,281.5,413.5,573,88.46145,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A049,26,MI,35,329,0.767346939,8.693009119,388,14923.07692,28.6,426800,1297.264438,608,432.8524,286,271,313,432,581,80.97,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
C031,26,MI,40.7,429.6,0.637207744,1.722532588,375,14423.07692,7.4,106730.7692,248.4422003,435,342.7126,269,334,291,339,407,32.73501,12,105,0222H,GB-SCT,AE22002,3,,,,746A,58.1323,-8.5055,4,yes,3,yes,C,58
C037,26,MI,36.7,362.6,0.733549807,3.723110866,516,19846.15385,13.5,267923.0769,738.8943103,523,383.8766,259,478,296,374,483,59.77431,10,105,0222H,GB-SCT,AE22002,5,,,,746A,58.1323,-8.5055,4,yes,3,yes,C,58
C085,26,MI,39.5,398.2,0.646115216,4.369663486,476,18307.69231,17.4,318553.8462,799.9845458,544,419.7209,256,387,304,421,516,67.20693,11,108,0222H,GB-SCT,AE22004,3,,,,746A,57.1134,-9.1414,4,yes,3,yes,C,57
C151,26,MI,39.3,430,0.708419985,5,402,15461.53846,21.5,332423.0769,773.0769231,526,398.3801,252,342,301,416,472,54.96495,10,111,0222H,GB-SCT,AE22006,3,,,,746A,59.5114,-5.1075,4,yes,4,yes,C,60
C175,26,MI,38.2,394.2,0.707174401,3.67833587,330,12692.30769,14.5,184038.4615,466.8657066,603,388.6641,261,256,298,378,515,66.78103,10,112,0222H,GB-SCT,AE22007,4,,G11,,746A,60.1299,-4.1096,4,yes,4,yes,C,60
C235,26,MI,36.4,356.2,0.738566771,5.923638405,375,14423.07692,21.1,304326.9231,854.3709239,605,436.6719,256,192,290,449,564,89.48083,5,114,0222H,GB-SCT,AE22009,3,,,,746A,61.0227,-1.5015,4,yes,4,yes,C,61
C241,26,MI,34.6,336.4,0.812133997,7.936979786,331,12730.76923,26.7,339911.5385,1010.43858,604,441.5356,262,239,320,443,563,79.43274,3,114,0222H,GB-SCT,AE22009,3,,,,746A,61.0227,-1.5015,4,yes,3,yes,C,61
G103,26,MI,36.1,360,0.765210455,6.416666667,352,13538.46154,23.1,312738.4615,868.7179487,588,395.0294,229,272,292,390.5,529,75.22723,6,105,WH455,DE,206,3,2b,Genetics,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
G121,26,MI,35.1,306,0.707619964,5.032679739,489,18807.69231,15.4,289638.4615,946.5309201,564,387.9393,250,346,274,395.5,499,72.7209,7,105,WH455,DE,206,4,3a,,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
G127,26,MI,31.8,241,0.749437953,6.473029046,507,19500,15.6,304200,1262.240664,626,459.9261,265,284,335,454.5,583,76.21124,3,105,WH455,DE,206,5,3b,,R,Walther Herwig III,52.2,-11.34,4,yes,3,yes,G,52
G145,26,MI,36.4,349,0.723637852,5.959885387,428,16461.53846,20.8,342400,981.0888252,605,385.4593,197,270,260,385,562,98.21176,11,105,WH455,DE,206,4,3a,,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
I007,26,MI,38,476,0.867473393,9.348739496,329,12653.84615,44.5,563096.1538,1182.975113,612,438.2133,311,150,342,420.5,587,72.86796,,131,64T2_WGMEGS,NL,2022NL5400601,5,Cb,A5,R,64T2,50.73333333,-10.95,5,yes,3,yes,I,51
K001,52,MI,38,374.8,0.683044176,7.017075774,689,13250,26.3,348475,929.76254,609,416.9719,207,392,266,414,587,104.0691,6,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,no,3,yes,K,47
