Year,country,Survey,Period,Haul,Haul-1,Date,Long,Lat,Nfish,Sampling,Length ,Lengthcl,Wt,Wov,Wovf,Wnov,Sex,Mat,Wcent,Cod,Ncent,POFage,Oocyte_H,Batch_H_yes,oocyte_w,Age,Comments,Histological,Batch_W_yes
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,52,R,32.5,,316,10.4,,305.6,2,5,,J030,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,53,R,38.6,,391,11.3,,379.7,2,5,,J031,,5,4,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,54,R,31,,232,8.8,,223.2,2,3,,J032,,0,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,55,R,36.3,,375,19.1,,355.9,2,5,,J033,,5,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,56,R,36,,376,23.1,,352.9,2,5,,J034,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,57,R,30.6,,228,,,,1,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,58,R,32.4,,317,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,59,R,33.7,,369,38.2,,330.8,2,5,,J035,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,60,R,31.5,,287,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,61,R,34,,289,21.6,,267.4,2,5,,J036,,0,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,62,R,30.9,,245,9.8,,235.2,2,5,,J037,,6,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,63,R,29.9,,248,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,64,R,28.2,,201,4.5,,196.5,2,3,,J038,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,65,R,29.5,,241,12.3,,228.7,2,5,,J039,,5,4,no,5,,,,yes
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,66,R,32.3,,300,27.1,,272.9,2,5,,J040,,0,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,67,R,30.7,,256,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,68,R,31.4,,287,21.4,,265.6,2,5,,J041,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,69,R,28.2,,177,,,,1,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,70,R,29.8,,235,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,71,R,36.3,,372,38.3,,333.7,2,5,,J042,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,72,R,28.8,,213,12.9,,200.1,2,3,,J043,,,4,no,5,,,,yes
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,73,R,35.2,,364,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,74,R,33.5,,314,32,,282,2,5,,J044,1,6,4,no,5,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,75,R,33.5,,352,21.6,,330.4,2,5,,J045,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,76,R,30.8,,253,18.6,,234.4,2,5,,J046,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,77,R,32.9,,334,24.1,,309.9,2,5,,J047,,6,4,no,5,,,,yes
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,78,R,32.1,,276,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,79,R,31.6,,270,16.5,,253.5,2,5,,J048,0,5,4,no,3,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,80,R,31.9,,304,33.4,,270.6,2,4,,J049,,4,4,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,81,R,36.7,,389,24.6,,364.4,2,5,,J050,0,,4,no,5,,,,yes
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,82,R,32.2,,284,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,83,R,29.4,,218,13.5,,204.5,2,5,,J051,,6,4,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,84,R,30.7,,234,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,85,R,37.2,,372,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,86,R,32.2,,263,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,87,R,36.8,,401,47.7,,353.3,2,5,,J052,0,0,4,no,3,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,88,R,32.4,,264,14.2,,249.8,2,5,,J053,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,89,R,30.1,,271,26.1,,244.9,2,5,,J054,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,90,R,34.2,,312,13.6,,298.4,2,5,,J055,,4,4,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,91,R,35.6,,374,27.9,,346.1,2,5,,J056,1,0,4,no,3,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,92,R,30.5,,278,17.8,,260.2,2,5,,J057,,,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,93,R,30.7,,266,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,94,R,34.7,,335,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,95,R,35,,327,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,96,R,33.6,,330,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,97,R,29.8,,235,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,98,R,29.8,,257,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,99,R,30.3,,251,,,,2,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,100,R,30.9,,291,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,101,R,34.9,,363,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,102,R,36.3,,353,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,103,R,31.9,,302,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,104,R,31.8,,275,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,105,R,28.1,,203,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,106,R,28.1,,226,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,107,R,28.2,,199,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,108,R,30.4,,260,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,109,R,32,,382,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,110,R,32.2,,326,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,111,R,31.1,,286,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,112,R,32.2,,266,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,113,R,32.3,,323,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,114,R,32.5,,293,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,115,R,31.8,,306,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,116,R,28.5,,210,,,,1,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,117,R,29.5,,240,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,118,R,30.7,,270,,,,2,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,119,R,29.3,,242,,,,1,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,120,R,30.6,,273,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,121,R,31.2,,248,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,122,R,27.6,,184,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,123,R,31.9,,288,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,124,R,31.5,,261,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,125,R,36,,359,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,126,R,38.1,,441,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,127,R,32.3,,281,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,128,R,29.5,,233,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,129,R,30.6,,225,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,130,R,31.7,,291,,,,2,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,131,R,31.1,,270,,,,1,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,132,R,30.7,,264,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,133,R,31.3,,265,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,134,R,32.4,,282,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,135,R,31.9,,304,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,136,R,33.4,,315,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,137,R,31.7,,256,,,,1,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,138,R,31.3,,260,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,139,R,32,,300,,,,2,2,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,140,R,30.6,,270,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,141,R,26.9,,184,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,142,R,29.7,,235,,,,2,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,143,R,35.8,,371,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,144,R,32.5,,343,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,145,R,29.2,,235,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,146,R,34.8,,342,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,147,R,27.5,,216,,,,2,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,148,R,31.3,,252,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400609,,16/06/2022,50.67,-10.73,149,R,34.2,,326,,,,2,5,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,150,R,27.7,,204,4.6,,199.4,1,4,,J058,,4,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,151,R,29.8,,232,21,,211,2,3,,J059,,,5,yes,5,,,,yes
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,152,R,31,,256,,,,2,3,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,153,R,38.7,,414,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,154,R,29.8,,240,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,155,R,31,,254,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,156,R,30,,232,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,157,R,30.6,,226,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,158,R,29.4,,213,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,159,R,29.7,,230,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,160,R,33.7,,311,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,161,R,30.2,,235,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,162,R,28.3,,194,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,163,R,33,,295,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,164,R,29.6,,225,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,165,R,31.5,,263,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,166,R,30.4,,257,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,167,R,31,,218,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,168,R,31.8,,285,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,169,R,28.4,,196,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,170,R,29.3,,213,6.7,,206.3,2,3,,J060,,6,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,171,R,29.7,,214,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,172,R,30.5,,239,21.3,,217.7,2,3,,J061,,6,5,yes,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,173,R,31.1,,249,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,174,R,31.5,,268,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,175,R,33.3,,298,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,176,R,29.8,,221,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,177,R,32.8,,256,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,178,R,31.4,,301,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,179,R,32.4,,266,30.6,,235.4,2,4,,J062,216,0,5,yes,5,,,,yes
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,180,R,28.4,,190,8,,182,2,5,,J063,,3,4,no,5,,,,yes
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,181,R,28.4,,190,9.6,,180.4,2,5,,J064,,4,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,182,R,28.5,,219,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,183,R,30.8,,231,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,184,R,31.2,,260,27.8,,232.2,2,4,,J065,,2,5,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,185,R,23.5,,294,14,,280,2,5,,J066,,5,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,186,R,31.3,,252,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,187,R,36.1,,370,45.7,,324.3,2,4,,J067,,,5,yes,5,,,,yes
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,188,R,29,,215,,,,1,4,,,,,,,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,189,R,27.8,,213,6.6,,206.4,2,3,,J068,,6,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,190,R,28,,185,5.3,,179.7,2,5,,J069,,6,3,no,,,,,
2022,WMR,MEGS,6,2022NL5400610,,15/06/2022,49.23,-10.82,191,R,30.4,,237,,,,1,4,,,,,,,,,,,
